Test,Pressure (bar),Temperature (°C),H2/N2 Ratio,GHSV_50000,GHSV_60000,GHSV_90000,GHSV_120000,GHSV_200000,GHSV_300000,GHSV_400000,TAve (°C),Exp/Equ
1,100,430,1.5,13.20,12.62,11.66,10.05,7.62,4.87,3.60,431.1,0.80
2,100,370,1.5,3.55,3.32,2.62,2.24,1.48,0.89,0.60,366.9,0.17
3,85,370,1.5,3.41,3.08,2.43,2.00,1.43,, ,366.9,0.16
4,85,430,1.5,11.82,11.33,9.53,8.25,5.46,4.17,3.30,431.2,0.80
7,70,370,3,2.19,1.91,1.43,1.14,0.60,, ,366.6,0.10
8,70,430,3,8.21,7.75,6.78,5.80,4.15,2.81,2.24,430.7,0.59
10,85,370,3,2.24,2.00,1.62,1.28,0.60,, ,366.6,0.10
11,85,430,3,9.45,8.42,6.94,5.64,4.16,2.72,2.10,430.7,0.59
13,100,370,3,3.13,2.90,2.19,1.62,1.04,, ,366.9,0.12
15,100,430,1.5,14.16,12.50,11.13,9.06,6.91,4.83,3.90,431.7,0.86
16,100,430,3,12.53,10.00,8.29,6.99,5.24,3.42,2.81,431.7,0.69
17,70,430,1.5,9.49,9.03,7.82,6.20,4.83,3.31,2.85,431.7,0.76
18,50,430,1.5,8.21,7.34,6.49,5.12,3.98,3.18,2.25,431.4,0.85
19,100,400,1.5,7.28,6.64,5.16,4.32,3.51,2.25,1.88,400.9,0.38
20,70,400,1.5,6.62,5.66,4.61,4.11,2.59,1.88,1.56,400.3,0.42
21,50,400,1.5,5.33,4.86,4.10,3.32,2.48,2.23,2.09,400.2,0.43
22,100,460,1.5,13.23,13.17,12.11,11.28,8.84,6.95,5.87,461.3,1.00
23,70,460,1.5,10.07,9.92,9.35,8.74,7.04,5.55,4.57,461.2,1.01
24,50,460,1.5,8.79,7.72,7.16,6.56,5.58,4.29,3.69,460.6,1.09
