Case_ID,Description,N_mem,L_m,Dcat,GHSV_h,Sweep_Ratio,H2_N2_ratio,p_ret_bar,p_perm_bar,T_ret_K,T_perm_K,Is_Counter_Current
N1_Nmem_2,"Multiple membrane, Nmem_2",2,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_3,"Multiple membrane, Nmem_3",3,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_4,"Multiple membrane, Nmem_4",4,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_5,"Multiple membrane, Nmem_5",5,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_6,"Multiple membrane, Nmem_6",6,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_7,"Multiple membrane, Nmem_7",7,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_8,"Multiple membrane, Nmem_8",8,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_9,"Multiple membrane, Nmem_9",9,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_10,"Multiple membrane, Nmem_10",10,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_11,"Multiple membrane, Nmem_11",11,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_12,"Multiple membrane, Nmem_12",12,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_13,"Multiple membrane, Nmem_13",13,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_14,"Multiple membrane, Nmem_14",14,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_15,"Multiple membrane, Nmem_15",15,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_16,"Multiple membrane, Nmem_16",16,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_17,"Multiple membrane, Nmem_17",17,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_18,"Multiple membrane, Nmem_18",18,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_19,"Multiple membrane, Nmem_19",19,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N1_Nmem_20,"Multiple membrane, Nmem_20",20,1,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.1,"Multiple membrane, Lmem_0.1",,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.2,"Multiple membrane, Lmem_0.2",,0.2,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.3,"Multiple membrane, Lmem_0.3",,0.3,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.4,"Multiple membrane, Lmem_0.4",,0.4,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.5,"Multiple membrane, Lmem_0.5",,0.5,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.6,"Multiple membrane, Lmem_0.6",,0.6,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.7,"Multiple membrane, Lmem_0.7",,0.7,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.8,"Multiple membrane, Lmem_0.8",,0.8,0.333333333,1000,1,2,50,1,523,523,FALSE
N2_Lmem_0.9,"Multiple membrane, Lmem_0.9",,0.9,0.333333333,1000,1,2,50,1,523,523,FALSE
