Case_ID,Description,N_mem,L_m,r_max_m,Dcat,GHSV_h,Sweep_Ratio,H2_N2_ratio,p_ret_bar,p_perm_bar,T_ret_K,T_perm_K,Is_Counter_Current
N1_GHSV_100,"Single membrane, GHSV=100",1,0.1,0.03,0.333333333,100,1,2,50,1,623,623,FALSE
N1_GHSV_1000,"Single membrane, GHSV=1000",1,0.1,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N1_GHSV_5000,"Single membrane, GHSV=5000",1,0.1,0.03,0.333333333,5000,1,2,50,1,623,623,FALSE
N1_GHSV_10000,"Single membrane, GHSV=10000",1,0.1,0.03,0.333333333,10000,1,2,50,1,623,623,FALSE
N1_GHSV_20000,"Single membrane, GHSV=20000",1,0.1,0.03,0.333333333,20000,1,2,50,1,623,623,FALSE
N1_GHSV_50000,"Single membrane, GHSV=50000",1,0.1,0.03,0.333333333,50000,1,2,50,1,623,623,FALSE
N2_Lmem_0.2,"Single membrane, L_mem=0.2",1,0.2,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.3,"Single membrane, L_mem=0.3",1,0.3,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.4,"Single membrane, L_mem=0.4",1,0.4,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.5,"Single membrane, L_mem=0.5",1,0.5,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.6,"Single membrane, L_mem=0.6",1,0.6,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.7,"Single membrane, L_mem=0.7",1,0.7,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.8,"Single membrane, L_mem=0.8",1,0.8,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_0.9,"Single membrane, L_mem=0.9",1,0.9,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N2_Lmem_1,"Single membrane, L_mem=1",1,1,0.03,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.04,"Single membrane, rmax_0.04",1,1,0.04,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.05,"Single membrane, rmax_0.05",1,1,0.05,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.06,"Single membrane, rmax_0.06",1,1,0.06,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.07,"Single membrane, rmax_0.07",1,1,0.07,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.08,"Single membrane, rmax_0.08",1,1,0.08,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.09,"Single membrane, rmax_0.09",1,1,0.09,0.333333333,1000,1,2,50,1,623,623,FALSE
N3_rmax_0.10,"Single membrane, rmax_0.10",1,1,0.1,0.333333333,1000,1,2,50,1,623,623,FALSE
N4_p_ret_20,"Single membrane, p_ret_20",1,1,0.1,0.333333333,1000,1,2,20,1,623,623,FALSE
N4_p_ret_30,"Single membrane, p_ret_30",1,1,0.1,0.333333333,1000,1,2,30,1,623,623,FALSE
N4_p_ret_40,"Single membrane, p_ret_40",1,1,0.1,0.333333333,1000,1,2,40,1,623,623,FALSE
N4_p_ret_60,"Single membrane, p_ret_60",1,1,0.1,0.333333333,1000,1,2,60,1,623,623,FALSE
N4_p_ret_70,"Single membrane, p_ret_70",1,1,0.1,0.333333333,1000,1,2,70,1,623,623,FALSE
N4_p_ret_80,"Single membrane, p_ret_80",1,1,0.1,0.333333333,1000,1,2,80,1,623,623,FALSE
N4_p_ret_90,"Single membrane, p_ret_90",1,1,0.1,0.333333333,1000,1,2,90,1,623,623,FALSE
N5_Tret_523,"Single membrane, Tret_523",1,1,0.1,0.333333333,1000,1,2,50,1,523,623,FALSE
N5_Tret_573,"Single membrane, Tret_573",1,1,0.1,0.333333333,1000,1,2,50,1,573,623,FALSE
N5_Tret_673,"Single membrane, Tret_673",1,1,0.1,0.333333333,1000,1,2,50,1,673,623,FALSE
N5_Tret_723,"Single membrane, Tret_723",1,1,0.1,0.333333333,1000,1,2,50,1,723,623,FALSE
N6_Tperm_473,"Single membrane, Tperm_473",1,1,0.1,0.333333333,1000,1,2,50,1,523,473,FALSE
N6_Tperm_523,"Single membrane, Tperm_523",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N6_Tperm_573,"Single membrane, Tperm_573",1,1,0.1,0.333333333,1000,1,2,50,1,523,573,FALSE
N6_Tperm_673,"Single membrane, Tperm_673",1,1,0.1,0.333333333,1000,1,2,50,1,523,673,FALSE
N6_Tperm_723,"Single membrane, Tperm_723",1,1,0.1,0.333333333,1000,1,2,50,1,523,723,FALSE
N7_H2_N2_ratio_1.5,"Single membrane, H2_N2_ratio_1.5",1,1,0.1,0.333333333,1000,1,1.5,50,1,523,523,FALSE
N7_H2_N2_ratio_2.5,"Single membrane, H2_N2_ratio_2.5",1,1,0.1,0.333333333,1000,1,2.5,50,1,523,523,FALSE
N7_H2_N2_ratio_3,"Single membrane, H2_N2_ratio_3",1,1,0.1,0.333333333,1000,1,3,50,1,523,523,FALSE
N8_Sweep_Ratio_2,"Single membrane, Sweep_Ratio_2",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_3,"Single membrane, Sweep_Ratio_3",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_4,"Single membrane, Sweep_Ratio_4",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_5,"Single membrane, Sweep_Ratio_5",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_6,"Single membrane, Sweep_Ratio_6",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_7,"Single membrane, Sweep_Ratio_7",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_8,"Single membrane, Sweep_Ratio_8",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_9,"Single membrane, Sweep_Ratio_9",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N8_Sweep_Ratio_10,"Single membrane, Sweep_Ratio_10",1,1,0.1,0.333333333,1000,1,2,50,1,523,523,FALSE
N9_Dcat_0.666,"Single membrane, Dcat_0.666",1,1,0.1,0.666666667,1000,1,2,50,1,523,523,FALSE
N9_Dcat_1,"Single membrane, Dcat_1",1,1,0.1,1,1000,1,2,50,1,523,523,FALSE
