Case_ID,Description,p_ret_bar,T_ret_K,Component,H2_N2_ratio,p_perm_bar,T_perm_K,Sweep_Ratio,N_mem,L_m,r_max_m,r_max_perm_m,Dcat,F_v_feed_m3_s,Is_Counter_Current
1,Permeation NH3,5,423,NH3,3,1,413,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
2,Permeation NH3,5,473,NH3,3,1,463,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
3,Permeation NH3,5,523,NH3,3,1,513,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
4,Permeation NH3,5,573,NH3,3,1,563,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
5,Permeation NH3,5,623,NH3,3,1,613,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
6,Permeation N2,5,423,N2,3,1,413,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
7,Permeation N2,5,473,N2,3,1,463,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
8,Permeation N2,5,523,N2,3,1,513,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
9,Permeation N2,5,573,N2,3,1,563,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
10,Permeation N2,5,623,N2,3,1,613,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
11,Permeation N2,5,423,H2,3,1,413,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
12,Permeation H2,5,473,H2,3,1,463,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
13,Permeation H2,5,523,H2,3,1,513,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
14,Permeation H2,5,573,H2,3,1,563,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
15,Permeation H2,5,623,H2,3,1,613,1.00E-02,1,0.097,0.0175,0.005,0.00001,0.000016666,0
