Case_ID,Description,Component,T_ret_K,T_perm_K,p_ret_bar,p_perm_bar,F_v_feed_m3_s,Sweep_Ratio,F_comp_perm_out_mol_s,delta_p_mean_bar,A_membrane_m2,permeance_model_SI,solve_converged,steady_state_norm,ok,permeance_exp_SI
1,Permeation NH3,NH3,423,413,5,1,1.67E-05,0.01,0.000416756,3.999021604,0.003047345,3.42E-07,FALSE,0.042064627,9.01E-07,3.00E-07
2,Permeation NH3,NH3,473,463,5,1,1.67E-05,0.01,0.000342578,3.999136372,0.003047345,2.81E-07,TRUE,4.47E-05,9.01E-07,3.00E-07
3,Permeation NH3,NH3,523,513,5,1,1.67E-05,0.01,0.000292391,3.999239625,0.003047345,2.40E-07,TRUE,1.95E-05,7.70E-07,2.57E-07
4,Permeation NH3,NH3,573,563,5,1,1.67E-05,0.01,0.000256552,3.999338757,0.003047345,2.11E-07,TRUE,3.48E-05,6.00E-07,2.00E-07
5,Permeation NH3,NH3,623,613,5,1,1.67E-05,0.01,0.000229882,3.999438056,0.003047345,1.89E-07,TRUE,1.62E-05,5.68E-07,1.89E-07
6,Permeation N2,N2,423,413,5,1,1.67E-05,0.01,0.000394799,3.998425419,0.003047345,3.24E-07,TRUE,2.11E-05,3.99E-07,2.66E-07
7,Permeation N2,N2,473,463,5,1,1.67E-05,0.01,0.000433738,3.997814521,0.003047345,3.56E-07,TRUE,4.70E-05,5.50E-07,3.67E-07
8,Permeation N2,N2,523,513,5,1,1.67E-05,0.01,0.000468001,3.997124738,0.003047345,3.84E-07,TRUE,2.28E-05,5.53E-07,3.69E-07
9,Permeation N2,N2,573,563,5,1,1.67E-05,0.01,0.000498292,3.996360449,0.003047345,4.09E-07,TRUE,1.96E-05,6.59E-07,4.39E-07
10,Permeation N2,N2,623,613,5,1,1.67E-05,0.01,0.000525204,3.99552556,0.003047345,4.31E-07,TRUE,2.34E-05,6.89E-07,4.59E-07
11,Permeation H2,H2,423,413,5,1,1.67E-05,0.01,0.000371251,3.999456242,0.003047345,3.05E-07,TRUE,8.75E-05,4.49E-07,2.99E-07
12,Permeation H2,H2,473,463,5,1,1.67E-05,0.01,3.03E-05,3.999480524,0.003047345,2.49E-07,FALSE,8184977.5,5.27E-07,3.51E-07
13,Permeation H2,H2,523,513,5,1,1.67E-05,0.01,0.000249113,4.00058143,0.003047345,2.04E-07,FALSE,222927.8935,5.41E-07,3.61E-07
14,Permeation H2,H2,573,563,5,1,1.67E-05,0.01,0.000608967,3.999976228,0.003047345,5.00E-07,FALSE,528344.2407,6.15E-07,4.10E-07
15,Permeation H2,H2,623,613,5,1,1.67E-05,0.01,0.000640259,4.001592843,0.003047345,5.25E-07,FALSE,4533690.976,6.46E-07,4.31E-07
